	Class A B C D E F G H I J K L M N O P Q R S T U V X Y W Z AA BB
553	0 10.43 11.8 20.06 70 -171.9 12.2 -64.94 145.9 -160.8 -10.51 91.62 -15.22 64.73 88.26 5.311 -58.5 -76.31 29.79 79.21 -326.86 47.76 56.38 -44.11 310.83 171.78 -43.4 196.09 -195.14
554	0 22.12 13.25 15.92 70 -171.9 19.65 -70.11 102.6 -66.64 25.11 129.9 -12.33 137.8 53.7 -30.9 -6.936 111.1 -11.08 -61.22 -188.64 -303.72 -29.14 -13.89 -35.68 104.59 264.94 -148.93 -235.1
555	0 -18.78 -7.198 -22.68 150 0 76.04 33.33 12.01 78.59 -193.5 144.7 198.7 137.8 70.98 62.59 -126.4 137.4 117.9 -123.93 108.42 -80.1 -162.21 -20.32 322.7 119.07 350.89 -124.07 104.68
556	0 -0.4174 1.984 -58.86 30 -71.43 -107 -59.76 1.773 4.012 -46.12 26.79 17.05 124.6 104.6 -42.09 6.635 -6.609 -129.2 -99.3 204.21 -148.41 -323.54 263.18 163.5 296.57 256.61 230.4 -65.62
557	0 -17.11 -6.363 -48.12 180 34.88 113.3 38.5 -41.72 81.86 -169.3 7.643 287.8 3.972 -50.94 13.87 -149.2 104.1 179.2 -203.31 -48.3 -203.62 77.95 -157.51 -197.23 -275.44 363.74 360.67 122.85
558	0 0.4174 -1.984 106 160 -85.37 -35.68 -28.73 151.1 -106.5 -130.4 24.93 134.1 -42.69 -53.82 41.52 -108.9 -36.04 195.2 -233.54 -116.22 286.65 109.7 102.94 -235.12 -330.23 -313.98 387.9 -141.67
559	0 15.51 39.42 -149.9 150 12.5 202.1 20.9 52.35 -67.67 -331.5 -36.71 269.2 -1.014 203.9 -119.5 -276.3 -48.94 181.8 295.3 298.76 361.4 274.67 -320.33 -107.24 -153.54 26.58 411.59 -46.17
560	0 4.433 3.883 -97.43 170 59.52 75.74 48.57 -66.67 103.9 -145.9 38.04 261.6 41.02 -18.49 -14.05 -178.3 44.51 147.6 -331.73 229.11 -283.33 -18.56 209.22 -63.07 -104.54 132.18 573.35 120.85
561	0 -3.989 13.01 -37.43 120 27.03 116.2 27.82 92.61 16.36 -207.4 172.4 206.4 69.26 88.21 -1.771 -37.28 210.6 35.8 -167.78 147.94 -249.96 27.47 160.29 214.23 -217.41 -248.5 4.13 -60.7
562	0 3.989 16.99 -62.24 10 -230.8 53.43 -62.1 148.3 -156.9 -3.689 115.5 13.66 106 26.31 25.57 -72.42 165.8 -146.6 -184.59 236.51 284.15 293.87 12.19 148.37 130.56 45.25 307.68 -100.74
563	0 84.16 88.72 -45.88 130 0 42.97 -18.29 42.18 40.82 -198.1 174.6 133.3 156.6 86.76 39.08 -220.5 108.1 136.2 53.8 -224.8 -53.73 -114.55 139.36 282.88 -248.12 -145.38 -246.23 -113.13
564	0 -11.03 -3.752 -41.75 150 -37.5 93.91 7.57 123.7 -88.37 -240.7 80.37 244.8 39.27 33.11 -105.8 -165 123.7 241 NA 173.5 -137.18 27.55 -232.3 -112.53 -60.72 18.24 -26 120.8
565	0 12.81 11.69 73.14 50 -66.67 -96.8 -60.93 103.5 -5.302 -45.59 113.8 -48.96 78.24 134.1 20.95 -49.46 55.99 -137.8 -128.47 115.82 49.53 164.43 275.78 -66.58 -208.29 -126.41 -245.48 26.21
566	0 57.51 62.21 -13.29 150 12.5 47.84 -38.1 29.9 -22.58 -285.7 38.01 160.9 60 203.9 -143.7 -186.3 186 193.9 186.7 -4.9 -77.82 288.64 -363.89 7.75 -64.27 -24.88 -110.21 74.99
567	0 25.92 21.76 40.29 40 -86.21 -16.44 -66.64 78.08 -40.52 -0.6221 114.9 12.74 42.59 79.02 -49.92 46.95 152.5 -20.64 193.5 22.36 45.99 -39.96 -154.05 259.31 -266.03 363.5 386.56 -125.79
568	0 -7.449 -1.964 -61.7 160 24.39 102.5 36.11 15.36 56.5 -185.7 112.1 259 117.2 -110.1 73.2 -132 151.8 84.34 -214.42 -24.35 324.38 15.71 23.38 189.05 71.99 296.95 451.12 45.26
569	0 -27.21 -15.19 -100.9 250 20 124.7 36.32 -93.32 97.83 -190.8 -41.79 323.2 -25.08 -55.55 92.45 -170.9 -10.72 200.1 -160.77 -281.9 142.91 273.65 183.82 241.75 232.83 -290.75 460.8 114.5
570	0 -6.358 -14.25 -86.96 30 -53.57 -115.8 -48.7 -68.36 24.32 -39.2 -30.73 -0.5507 16.35 93.69 17.92 42.41 165.6 -216.3 -70.23 -218.56 -125.74 -0.09 184.05 149.28 -144.27 -11.44 65.97 -191.97
571	0 -1.272 -11.71 -21.34 190 11.36 -32.06 -16 -24.82 119.8 -172.1 129.7 150 66.36 -74.42 70.84 -151.5 125.3 120.7 293.73 -221.83 -189.17 329.09 188.3 192.6 -235.91 58.12 -71.62 -54.17
572	0 -19.88 NA -271.6 140 -25.64 110.6 13.83 -2.938 18.65 -156.1 74.72 238.8 140.6 -36.86 35.79 -141.7 64.01 132.5 -256.45 249.16 -229.91 -58.51 -126.03 -180.3 -154.69 -36.53 -96.67 36.72
573	0 51.17 48.02 10.33 100 -28.57 -59.38 -48.71 55.42 1.265 -161.6 116.4 42.5 19.61 71.98 -39.14 -104.4 237.8 40 -0.73 116.11 -297.99 134.93 -122.32 25.36 98.03 357.98 604.41 -19.27
574	0 98.76 71.82 -49.68 20 -148.1 NA -48.71 57.44 -89.11 -77.86 57.42 -39.85 69.26 118.9 27.6 -16.77 101.1 -110.1 -52.27 85.9 -157.76 -129.23 -277.52 -119.42 -117.67 -257.73 171.05 43.98
575	0 21.17 24.93 31.28 20 -111.1 -66.48 -69.91 24.12 -50.35 3.04 60.61 -22.35 66.6 121.7 0.08408 -11.93 59.62 -33.16 217.94 -84.37 380.93 62.61 289.71 -230.08 -35.23 -308.35 487.85 216.76
576	0 14.11 13.2 45.16 110 13.89 -86.14 -43.76 -28.11 25.05 -75.13 49 75.32 -28.95 83.13 30.38 -92.14 19.2 18.33 121.06 145.19 388 -68.98 -192.84 255.43 106.5 -162.97 -38.86 -211.72
577	0 2.016 19.45 -109.1 190 11.36 168.3 -2.679 -11.05 71.15 -197.7 84.34 245.6 55.91 21.29 22 -122.9 146.7 144 -240.89 273.34 -17.83 52.5 129.82 -260.71 76.71 -21.47 522.47 134.75
578	0 -2.016 -3.057 -17.79 210 32.61 125.7 27.2 -45.26 101 -197.3 12.08 252.2 13.14 25.78 66.49 -144.6 91.5 204.4 -264.49 114.99 -298.41 56.4 -154.02 -186.46 -97.49 -43.1 104.59 -142.85
579	0 39.31 21.71 79.26 80 0 -114.5 -43.76 -20.58 16.91 -75.13 61.13 39.24 -16.92 74.17 -83.08 -98.89 53.41 20.39 -198.57 -358.41 226.31 -252.19 236.98 -253.01 294.05 -214.42 507.56 -81.98
580	0 41.33 30.91 198.6 30 -35.71 -106.9 -69.91 29.46 -113.3 -77.7 13.14 12.41 -24.27 105.5 -195.9 -90.64 0.5408 14.21 -198.79 -251.49 33.32 238.77 -268.09 280.03 287.06 239.68 462.81 -6.71
581	0 16 25.86 -166.3 60 -193.5 34.3 -54.62 44.52 -107.2 27.07 75.39 -103.4 143.7 214.4 69.55 -31.08 167.7 -106.1 53.71 -100.38 368.23 171.84 -176.84 -209.38 217.87 -202.97 -177.31 -227.49
582	0 0 8.929 -41.5 130 -26.32 76.82 -1.572 70.44 -28.91 -163.7 125.6 293.8 142.8 -6.595 -83.52 -134.8 -6.42 111.6 -45.8 -45.07 211.14 288.57 -286.43 -175.54 -318.55 299.43 602.85 -244.06
583	0 4 -2.464 78.68 90 14.71 -149.6 -41.36 -93.73 109.8 -85.16 3.774 20.65 -62.01 146.2 -8.439 -52.99 23.69 37.35 -264.42 -142.34 223.7 194.21 119.67 292.68 290.54 102.31 589.5 35.19
584	0 27 31.36 77.87 100 -28.57 -48.76 -41.36 24.27 -7.291 -84 34.78 86.54 -144.1 85.6 -8.439 -72.55 11.46 64.57 -57.61 -316.78 -20.31 -34.63 192.27 216.41 -326.39 171.33 -23.18 -210.52
585	0 48 32.93 73.4 60 -80.65 -105.1 -50.2 89.61 -55.76 -77.03 11.9 6.582 NA 131.1 -5.523 -57.68 -6.42 -62.44 245.38 -270.99 3.14 -109.69 -356.32 -234.53 -60.79 233 -4.54 86.16
586	0 13 6.5 -69.7 170 59.52 -18.11 -5.992 -98.86 127.7 -160.2 -45.7 252.9 -100.6 -55.85 19.26 -94.46 34.99 135.5 56.3 -247.62 290.06 230.47 NA 130.64 -242.71 325.4 -241.11 89.1
587	1 -13.37 -6.686 -48.7 70 -46.88 -43.9 -44.79 -53.14 87.16 4.202 -30.17 -42.99 -66.49 168.2 68.42 -28.61 -17.57 -118.4 -263.62 -313.69 -16.51 -252.82 297.31 -110.17 71.86 140.68 270.34 -135.44
588	1 -6.977 -13.1 -25.81 100 -57.14 -78.2 -44.79 -81.95 37.23 -21.64 -72.24 -22.86 -90.41 120.7 38.73 -28 14.91 6.414 68.19 -97.21 15.17 -337.53 -0.73 -166.32 238.89 -3.98 338.88 -232.78
589	1 -62.21 -63.16 41.51 -160 -277.8 32.71 -23.18 90.54 -106.2 57.44 -0.7315 -44.91 68.67 -54.18 -84.18 161.6 -115 -21.22 114.7 -109.51 26.91 -130.16 280.29 -4.12 285.09 -76.96 -135.42 -40.08
590	1 -69.75 -66.93 -73.95 -100 -166.7 81.28 -23.53 -82.33 14.87 131.3 -114.6 -96.52 -17.35 -56.69 -93.54 196.6 -101 -97.54 258.92 -253.29 165.28 164.18 -101.39 -240.85 166.73 -294.26 425.09 -105.29
591	1 -48.34 -43.4 -23.61 -90 -218.8 48.56 -43.34 53.27 -100.6 81.79 -70.67 -7.549 9.806 -69.3 -80.36 108 -167.9 -4.95 -6.83 -144.89 87 154.98 -178.81 190.31 -130.14 239.73 -102.19 124.39
592	1 1.381 0.6906 63.82 100 -57.14 -106.6 -36.74 50.62 17.31 -75.16 24.47 -56.79 -33.94 171.3 70.88 -83.38 32.95 -95.65 -206.51 17.4 297.17 264.49 -174.29 -47.73 21.85 209.26 358.17 151.19
593	1 0 3.205 52.03 50 -66.67 -81.28 -49.94 55.92 31.13 -14.31 15.49 -34.33 59.59 80.95 59.25 -26.52 104.8 -92.82 67.87 20.5 85.64 -165.75 25.76 7.9 -15.36 297.8 -96.33 -71.15
594	1 -33.84 -39.36 0.5191 180 -11.63 -14.78 -49.94 -57.47 155.6 58.29 -115.5 -17.05 -163.7 -54.59 192.6 98.09 2.514 18.67 -289.67 -26.96 243.8 -53.2 229.03 297.34 15.1 -108.73 -162.66 24.9
595	1 -67.86 -64.33 -95.09 -20 -195.7 135.9 2.499 38.22 -218.6 116.3 -56.41 -82.31 102.4 -74.26 -56.79 78.26 -50.87 -101.5 -181.86 231.96 -83.1 -327.94 154.38 -253.78 121.3 19.39 607.21 53.69
596	1 3.571 -1.593 40.57 90 -88.24 -46.82 -33.42 184.7 -8.83 -39.49 62.76 20.44 49.3 144.7 58.34 -122.2 61.38 -33.24 244.69 191.3 143.07 345.46 -5.07 8.84 -314.4 -58.06 -137.76 77.63
597	1 -64.29 -59.17 -73.59 120 -81.08 -5.97 -33.42 -6.499 84.74 70.5 -122.9 -94.13 -48.45 -41.73 195.4 25.74 -29.83 -71.15 173.11 -237.11 24.28 347.78 -360.86 214.46 180.28 -201.53 -56.46 149.47
598	1 -31.43 -39.36 63.63 -20 -173.9 117.7 -33.42 95.85 -84.92 123.8 -5.764 -10.48 73.04 -110.5 122.3 NA -20.81 -60.72 -279.11 -76.97 204.77 -323.29 -111.78 -254.68 199.11 341.22 355.59 174.59
599	1 -38.57 -39.56 15.1 -110 -250 79.14 -40.61 113.4 -120.9 98.37 -51.45 -37.76 8.804 -108 -93.34 145.8 -148.1 -55.03 -87.1 -281.05 22.3 -126.29 189.76 42.14 108.78 204.62 586.27 176.35
600	1 -50.46 -46.66 15.37 -150 -250 141.2 -24.09 12.36 -178.1 115.3 5.933 -37.76 159.8 -121.2 -144.1 102.9 -56.59 -51.13 -141.95 116.13 -215.22 -86.53 -285.44 -165.23 269.37 326.19 -23.08 202.98
601	1 -70.34 -60.17 -70.25 -50 -175 55.02 -10.9 -116.5 -70.29 101.3 -103.1 -121.9 14.25 1.586 -170.3 59.77 -176.6 -49.36 182.27 -106.53 -164.03 -156.8 -69.74 279.37 -169.45 148.47 -159.65 -65.41
602	1 11.47 9.305 -20.9 50 -66.67 -81.46 -43.87 43.17 50.74 -27.26 15.08 -40.39 54.44 142.6 65.38 -27.45 6.618 -38.73 147.77 43.68 217.15 -224.85 29.51 323.16 131.92 -321.09 389.39 -114.49
603	1 1.529 -2.807 -23.79 NA -16.67 -119.8 -30.68 -71.34 50.74 -65.99 -29.01 -39.51 -100.8 97.63 48.55 -74.07 36.29 -21.89 277 279.01 204.66 20.51 99.32 160.44 14.43 1.67 13.02 204.72
604	1 -71.1 -71.26 -59.48 -80 -147.1 55.02 2.294 -144 -56.29 114.2 -43.16 -155.1 35.04 -83.52 -149.4 103.4 28.55 -99.88 -20.65 16.52 46.84 155.3 197.33 56.15 90.72 161.8 31.92 -123.54
605	1 -1.609 -7.215 48.77 80 -75.76 -62.53 -42.16 12.39 47.84 -8.572 51.99 -41.31 28.67 111.6 60.4 -23.67 52.17 -47.68 -61.8 300.41 -191.36 -212.55 -331.13 88.13 132.35 172.72 424.08 40.41
606	1 -64.38 -54.62 -72.17 NA -214.3 52.81 -28.06 -15.69 -126.4 83.84 -22.84 -52.32 51.9 -43.16 -178.8 145 47.54 -40.71 -23.75 16.04 -259.04 -290.25 -111.46 -56.36 233.76 257.69 418.81 -98.65
607	1 -40.77 -33.21 36.78 -120 -269.2 82.41 -35.11 192.5 -184.8 71.26 48.17 -17.09 94.86 -57.46 -88.65 128.1 -185.2 -70.36 313.78 274.03 -254.33 -321.09 248.95 -123.59 -176.12 224.32 479.61 47.94
608	1 17.7 12.06 -57.25 60 -16.13 -96.21 -35.11 -120.8 118.1 -42.44 -36.58 -50.12 -61.89 197.4 53.47 -65.71 44.75 -2.332 -55.63 0.55 117.28 -301.59 -44.86 320.99 269.33 127.35 37.66 -239.32
609	1 -70.82 -54.64 -8.29 -50 -150 58.94 -35.11 -65.02 13.17 124 -83.16 NA -21.25 51.75 -100.4 150.5 -133.3 -185.5 -282.36 59.28 312.87 26.09 -8.85 284.4 17.99 -87.85 -185.15 -30.35
610	1 -8.207 -13.72 52.04 10 -76.92 -68.95 -39.58 54.36 17.3 -10.89 -18.72 11.12 -36.98 134.5 78.88 42.06 -32.45 16.58 185.69 -5 53.45 34.22 -333.1 158.49 206.14 -97.77 3.78 -89.32
611	1 -32.2 -38.53 64.71 -160 -277.8 56.6 -46.27 120.1 -61.17 95.04 34.43 -23.59 45.22 -152.1 -91.34 142.9 -122.3 9.69 -262.03 -215.19 248.21 -224.7 249.7 -187 -221.38 -60.06 -53.55 -198.65
612	1 -86.69 -78.5 -5.921 100 -57.14 -67.39 -20.41 -42.81 8.584 -61.26 75.69 -59.05 75.45 203.8 41.81 -64.57 136.1 -40.22 -204.45 -345.72 235.61 -230.8 49.14 -238.96 193.02 72.13 -245.83 -163.15
613	1 -63.82 -60.03 -84.28 -60 -210.5 84.81 -37.82 45.09 -159.1 85.55 NA -6.217 86.68 -84.44 -77.55 52.51 -36.12 1.955 31.97 -351.15 293.53 -78.42 -128.27 -53.77 180.52 -298.29 278.87 61.26
614	1 -66.45 -67.6 -252 -180 -142.9 -45.1 -27.15 -85.52 40.39 69.74 -114.1 -109.7 -59.35 23.82 44.75 200.6 -222 -131.8 185.51 235.38 -245.39 24.55 167.53 -228.55 -240.41 240.94 -201.82 209.92
615	1 -33.55 -41.78 54.86 -160 -277.8 68.08 -43.16 109.2 -171.2 61.26 62.09 -6.217 66.95 -58.08 -115.9 125.9 -153.5 -66.77 -15.23 130.14 326.19 -109.79 -0.51 135.28 204.53 -331.17 492.29 158.25
616	1 23.03 8.388 -21.24 80 -45.45 -131.7 -43.16 -116.6 90.79 -29.37 -69.01 -60.02 -13.96 153.7 78.47 -45.26 90.26 -67.5 -137.37 -19.37 -72.89 -111.67 237.82 -185.28 -152.59 -106.27 523.17 -178.73
617	1 -81.2 -77.36 -141.4 -140 -318.2 106.8 4.473 -61.59 -12.49 153.8 -94.45 -135 7.666 -41 -120.8 133.6 -89.38 -58.07 -26.58 -140.18 370.95 208.84 287.1 306.57 151.39 -189.14 396.25 -151.02
618	1 -69.09 -71.31 -116.3 -170 -187.5 15.02 -24.92 -122.9 35.44 105.6 -76.2 -104.6 -53.38 8.888 -30.27 123.5 -201.1 -116.1 46.8 -274.33 158.61 290.77 238.47 -145.14 -133.85 285.73 -84.1 -220.17
619	1 -3.561 -16.49 -43.84 -80 -88.24 -9.269 -54.31 5.135 -43.64 61.41 9.16 -5.153 -14.02 -39.91 -78.18 123.1 -39.36 2.178 213.24 97.61 331.54 28.42 18.43 -152.9 -29.67 274.93 76.71 155.74
620	1 -39.17 -41.65 114.1 -110 -214.3 23.11 -45.92 112.5 -122.1 60.61 39.75 -15.14 64.7 -12.8 -14.3 104.7 -111.3 -39.2 -259.11 198.52 398.68 -295.75 148.09 302.61 -142.64 -260.29 14.86 75.4
621	1 40.6 23.98 -16.53 70 -93.75 -71.34 -62.71 33.9 -40.65 7.572 1.266 -23.32 -2.777 142.3 14.09 -31.12 40.35 12.34 -327.39 108.17 214.56 -77.3 270.27 137.66 -329.1 328.86 151.52 231.26
622	1 -27 -36.53 18.95 -140 -272.7 95.94 -36.97 63.07 -135.4 101 51.23 -18.05 91.89 -124.4 -140.7 158.1 -72.83 -13.75 258.12 117.7 150.82 80.9 -305.31 -9.8 -163.35 -290.13 51.88 93.53
623	1 -79.59 -69.4 -102 30 -160.7 15.91 NA 127.6 -10.4 57.4 82.23 -33.63 29.35 36.24 162.7 149.1 -40.07 -46.36 -110.62 -181.93 6.98 -48.92 242.48 -240.17 -11.24 -105.37 513.73 4.23
624	1 7.363 10.26 10.42 70 -31.25 -66.82 -36.97 -65.47 50.56 -27.55 -61.72 -14.8 -24.98 233.4 57.11 -19.01 6.546 -64.99 -78.68 204.81 173.54 133.96 -244.94 -78.5 -133.97 -155.7 120.39 -212.69
625	1 9.467 8.023 -56.64 50 -50 -104.6 -31.52 -41.61 47.47 -43.62 -37.36 -56.35 68.31 110.5 84.77 -26 -26.21 -141.4 91.49 -133.41 -25.99 -174.71 210.87 88.35 -217.59 -266.7 569.25 139.25
626	1 -64.17 -55.11 -8.95 -90 -62.5 -21.85 -42.42 -204.6 81.42 58.16 -213.8 -63.49 -166.5 -37.98 -26.71 80.26 -67.79 -65.93 262.68 -58.97 198.27 -186.08 -10.39 -105.85 -244.57 -93.52 -213.38 133.75
627	1 -48.04 -43.76 5.252 -240 0 16.81 -47.87 -147.1 246.5 59.69 -204.2 -5.715 -204.4 -60.13 268.3 94.73 -60.23 7.676 140.99 -71.78 39.78 -336.18 -124.84 -146.57 -251.51 300.94 221.42 -182.57
628	1 -32.34 -36.44 -55.39 -10 -125 60.29 -18.38 109.7 -166.9 35.65 55.11 41.57 121.6 -40.71 -95.21 77.9 70.46 -4.319 285.79 66.44 -223.34 -48.23 -227 148.71 51.95 292.9 -237.9 -233.81
629	1 1.142 0.5708 -34.09 50 -66.67 -45.36 -18.38 -45.4 26.57 -6.237 0 -106.6 17.85 197.6 108.8 36.46 -47.32 -156.5 -0.35 36.19 -36.49 -189.14 -127.18 9.47 -257.35 -254.39 355.79 23.04
630	1 10.27 8.515 37.27 40 -17.24 -15.31 -31.06 -3.808 27.38 -11.25 14.94 61.38 44.38 148.7 44.65 21.09 -36.46 -32.07 139.3 -198.33 -120.86 270.07 83.93 -92.64 -88.97 -241.02 47.66 -1.69
631	1 -68.11 -67.84 -26.79 -130 -250 57.38 19.65 -127.4 -81.91 101.7 -216.7 -125.7 -6.271 -14.94 -110.3 184.5 -144.2 -154.7 -335.75 233.07 0.63 162.01 -104 197.01 -290.74 6.8 -32.22 -141.31
632	1 -53.65 -47.1 22.96 -30 -159.1 1.163 -24.72 86.81 -153.1 21.08 -8.406 -32.93 86.59 -81.93 -101.4 52.29 -101.6 -152 -164.84 -104.64 -36.93 -109.57 5.58 -238.76 185.35 345.75 -197.45 -186.44
633	1 -37.27 -39.47 -47.9 150 37.5 -5.483 -29.15 -222.9 167.7 51.74 -172.6 -73.75 -168.5 -26.39 -31.34 -25.45 -195.6 -123.2 -145.17 -121.79 79.37 -336.12 -210.5 207.43 204.26 172.36 -26.44 -185.3
634	1 -34.16 -29.58 5.099 -120 -230.8 52.26 -34.72 133.5 -116.3 64.16 46.5 -21.52 107.1 -42.54 -89.03 114.5 -118.3 -66.2 -336.4 47.73 -34.4 -32.03 74.06 -110.88 -28.05 -35.17 226.78 197.01
635	1 19.41 9.705 -20.81 50 -33.33 -78.2 -40.29 8.469 33.78 -43.68 67.14 -14.87 40.98 42.22 21.33 23.98 21.42 -44.96 280.05 -352.36 118.83 53.63 174.49 -41.58 -236.21 221.67 216.47 -217.52
636	1 -69.88 -76.6 -3.842 -80 -205.9 61.88 32.11 -108.1 96.71 110.9 -165.5 -102.2 -86.74 -95 82.79 184.7 -202.5 -141.1 -98.76 -367.02 2.24 221.02 133.46 -31.19 -186.34 213.53 -74.79 -118.89
637	1 -4.658 -2.329 -39.28 60 -64.52 -27.94 -29.15 3.443 -19.47 -9.887 26.65 28.81 29.77 121.6 13.81 0.5646 67 -14.79 168.8 -70.56 227.25 -1.12 -103.78 -76.89 -291 286.49 -64.39 NA
638	1 -36.62 -43.31 17.05 -90 -93.75 -10.31 -31.71 19.55 -145 12.98 -43.36 37.37 2.944 -33.53 -132.4 152.4 43.57 -43.61 167.77 -212.61 300.39 270.01 -180.84 123.97 103.23 124.75 -11.51 -237.7
639	1 6.338 4.836 -13.99 40 17.24 -17.23 -45.01 -85.03 49.73 0.7883 28.75 8.86 NA 179 -48.3 51.42 40.78 -57.52 -69.07 255.19 -288.24 -158.64 252.98 -193.65 12.91 49.68 11.68 -197.04
640	1 -36.62 -46.64 -109.9 -50 0 -23.16 -25.05 -240 92.61 59.88 -161.8 -146.6 -124.7 49.48 -169.6 113.3 -88.73 -8.825 95.06 -283.05 -285.53 130.53 18.9 -14.09 -31.47 -223.18 589.79 -56.17
641	1 -43.66 -43.5 6.744 -70 -166.7 44.06 -25.05 162.2 -173.3 24.71 59.87 32.19 134.1 -25.99 -154.1 56.71 12.83 -129.7 173.61 -320.26 -187.79 166.86 231.95 108.8 137.52 -37.16 26.8 230.89
642	1 -2.817 -6.408 77.27 90 -44.12 -88.4 -51.66 8.516 -18.03 -45.64 -22.11 -1.507 -38.8 63.32 98.89 -79.17 5.372 -83.61 237.88 128.32 301.66 -253.13 -303.57 72.54 -19.95 79.68 463.14 -19.39
643	1 -70.42 -66.88 6.382 -60 -26.32 36.15 -31.71 -211.5 36 98.34 -72.97 -16.19 -13.75 -91.39 -305.5 1.721 -85.94 -50.56 24.46 285.68 -10.88 -231.09 -198.39 -3.57 10.73 -225.84 374.19 -84.36
644	1 -47.34 -49.31 60.26 -50 -100 -5.152 -39.47 17.01 -27.33 19.83 21.71 96.92 40.6 -139.1 -91.63 71.04 13.86 69.96 152.11 32.5 73.03 -131.84 149.63 276.12 -270.74 234.15 512.52 128.85
645	1 -56.21 -60.16 -6.538 -90 -156.3 17.52 -28.79 -124 -19.82 89.12 -176.4 -40.14 -58.89 -48.86 -54.08 99.36 -207.4 -28.45 -0.54 -279.85 -245.38 -53.77 207.22 54.72 45.6 -160.41 425.99 14
646	1 -34.02 -49.06 8.682 -60 -105.3 61.87 -23.44 58.93 -143 54.47 59.13 45.8 67.06 -89.66 -120.2 72.68 143.1 -86.95 35.51 -85.85 -194.18 351.78 -32.77 37.95 -154.2 -215.07 243.54 203.98
647	1 -1.526e-05 -7.629e-06 -79.04 -80 -117.6 1.747 -55.51 -266.4 122.9 21.26 -257.1 19.13 -26.08 -74.83 -81.87 -39.39 -231 -62.17 299.63 273.03 378.7 -205.37 204.34 232.53 304.2 156.47 -132.96 24.21
648	1 -1.526e-05 -7.629e-06 -80.07 50 -133.3 15.55 -39.47 23.47 -82.9 29.32 48.86 -100.9 92.47 215.7 -11.28 -52.53 121.3 -25.01 -245.11 -299.06 203.37 -107.25 -279.66 240.68 -130.78 342.62 157.07 -132.94
649	1 -62.87 -66.69 -162.4 50 -100 137.8 46.03 132.6 -33.33 44.03 264.6 -15.69 38.49 66.12 114.1 98.95 161.3 -43.59 -248.97 -245.22 385.27 43.21 -292.12 -256.02 188.86 311.41 -16.26 166.44
650	1 -43.15 -46.57 18.93 -100 -166.7 93.02 -36.71 -1.541 -151.8 113.9 -48.68 -60.12 50.86 -59.04 -165.9 106.6 -60.78 -50.9 53.21 -319.35 -111.63 -253.61 290.86 26.96 -114.95 224.75 544.72 43.84
651	1 -70.69 -68.68 15.46 -40 -119 115.3 -9.481 -138.1 25.72 163.6 -154.5 -103.2 -36.76 -27.91 -23.09 163.9 -134.7 -106 98.6 -96.93 -147.07 92.99 -206.24 -184.38 68.67 -234.57 -197.08 -173.26
652	1 -7.65 1.731 71.23 50 -33.33 -17.24 -36.71 -0.2899 -32.79 -21.05 60.33 -13.69 108.7 200.9 -25.07 -63.43 107.6 -78.43 180.28 -195.44 161.76 -107.28 -196.98 103.16 130.69 -279.54 -178.74 -190.55
653	1 -22.95 -30.92 -16.3 -100 -133.3 5.076 -54.87 108.7 -201.5 23.77 -63.36 -18.11 14.06 -143.1 -137.1 47.12 -126.8 -28.88 280.73 -271.41 -209.51 -148.15 -292.76 -201.85 -135.36 175.23 -43.27 -200.96
654	1 27.85 27.81 0.7257 60 -48.39 22.14 -63.94 40.46 17.92 35.11 124.3 5.111 77.15 120 13.59 29.54 89.41 -80.63 265.44 -190.65 -151.28 -312.27 210.56 205.35 143.81 -223.38 38.31 49.04
655	1 -34.17 NA 5.236 -70 -222.2 44.81 -56.35 42.27 -45.72 100.7 -40.17 -13.43 11.53 -105.4 -47.1 143.2 -106.1 -77.6 -73.13 -27.66 -55.33 21.58 -107.13 285.58 230.37 3.02 531.39 -214.57
656	1 10 5 57.14 50 -16.67 -58.43 -50.15 -78.45 109.2 1.529 36.18 -74.72 4.406 122.2 93.52 35.93 58.52 -97.29 -55.72 -62.39 47.45 96.51 -21.69 6.91 267.5 -16.87 561.69 40.37
657	1 -85.83 -69.94 -22.25 -150 -300 60.7 -19.14 -92.26 -108.1 109.1 -155.9 -127.4 -24.11 -27.13 -112.1 158.1 -150.3 -95.71 -311.83 -269.95 -160.59 -64.91 251.63 -178.28 16.39 378.03 308.45 -0.58
658	1 -19.17 -19.72 66.69 50 -33.33 -70.79 -31.55 -95.29 55.04 -23.89 -8.977 4.647 37 103.8 -17.3 -19.4 33.12 20.05 70.05 111.42 -158.74 -75.09 -299.02 -33.71 -217.94 -66.99 472.78 -113.25
659	1 -62.5 -58.28 78.78 -40 -166.7 7.75 -37.75 79.82 0.8991 NA -34.43 -30.72 -9.852 -114 -68.5 100.9 -55.26 -7.515 203.94 -326.73 -175.47 278.68 -331.68 -190.13 -274.6 -282.11 199.04 -83.12
660	1 -53.01 -44.36 -16.44 -60 -157.9 -23.7 -37.41 -13.66 -61.32 44.54 -69.77 -14.89 -31.33 -21.44 -83.92 97.73 -46.41 -22.84 291.66 -287.91 201.59 207.22 26.3 126.96 200.66 179.42 375.96 -166.64
661	1 4.298 12.86 74.78 60 -32.26 -46.41 -61.9 -52.58 39.46 13.08 20.32 10.9 83.22 28.19 48.06 -9.458 14.26 -18.83 102.5 274.39 -153.6 -167.74 -29.54 -247.78 -302 -222.15 336.73 56.69
